"","account_type","default_profile","default_profile_image","favourites_count","followers_count","geo_enabled","statuses_count","verified","average_tweets_per_day","account_age","has_bot_in_description"
"1","bot","False","False","3","1","False","8","False","4","2","False"
"2","human","False","False","3","1","False","8","False","4","2","True"
"3","human","False","False","3","1","True","8","False","4","2","False"
"4","human","True","False","2","1","True","8","False","4","2","False"
"5","human","False","False","3","4","True","8","True","4","4","False"
"7","human","False","False","3","1","True","8","True","4","3","False"
"8","human","False","False","3","8","False","8","True","4","4","False"
"9","human","True","False","3","1","False","8","False","4","4","False"
"10","human","False","False","7","1","True","2","False","3","4","False"
"11","human","False","False","3","1","False","8","False","4","4","False"
"12","bot","False","False","3","1","False","2","False","4","1","True"
"13","human","False","False","2","1","True","2","False","4","3","False"
"14","human","False","False","7","4","True","5","True","3","4","False"
"15","human","False","False","3","1","True","8","True","4","4","False"
"16","human","False","False","6","1","True","5","False","3","4","False"
"17","human","True","False","3","1","False","8","False","4","2","False"
"18","human","True","False","3","1","False","8","False","4","2","False"
"19","human","False","False","2","1","True","8","False","4","4","False"
"20","bot","True","False","3","1","False","8","False","4","4","False"
"21","human","False","False","3","1","True","8","True","4","4","False"
"22","bot","True","False","3","1","False","8","False","4","1","False"
"23","human","True","False","7","8","True","2","True","4","4","False"
"24","human","False","False","3","1","True","8","True","4","4","False"
"25","human","False","False","3","1","True","5","True","3","3","False"
"26","human","False","False","2","1","True","8","False","4","4","False"
"27","bot","True","False","3","1","False","8","False","4","2","False"
"28","human","True","False","3","1","True","8","False","4","3","False"
"29","human","True","False","3","1","False","2","True","4","4","False"
"30","human","False","False","2","1","True","2","False","4","3","False"
"31","human","True","False","3","1","False","8","False","4","1","False"
"32","bot","False","False","3","1","True","8","False","4","4","False"
"33","bot","True","False","3","1","False","8","False","4","4","False"
"34","human","False","False","3","1","True","8","False","4","1","False"
"35","human","False","False","2","1","True","5","True","3","3","False"
"36","human","False","False","3","1","True","2","False","4","3","False"
"37","human","True","False","7","1","True","2","False","4","4","False"
"38","human","False","False","2","1","True","2","True","4","3","False"
"39","bot","True","False","3","1","False","8","False","4","2","False"
"40","bot","False","False","3","3","True","1","True","2","3","False"
"41","human","False","False","3","1","True","5","False","3","4","False"
"42","human","False","False","6","1","False","8","False","4","1","False"
"43","human","False","False","3","1","True","8","False","4","1","False"
"44","human","False","False","3","1","False","8","False","4","4","False"
"45","bot","False","False","3","1","False","8","False","4","3","False"
"46","human","False","False","3","4","True","2","True","4","4","False"
"47","human","True","False","3","4","True","8","True","4","4","False"
